Species_name	Subfam	Tribe	DIAM	DEN	VEL	FL	RH	MPH	CL	GF	SOL	MT	MUL	VD	T	FT	LF	GTT	SEP	VCT	AP	APOPARA	DIF	DIA	BAN	SCA	VAS	RW	PC	PCP	MI	CV	LA
Plumeria_alba	RAU	Plu	60	26	770	1870	430	4	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thick	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Plumeria_obtusa	RAU	Plu	70	5	880	1130	440	4	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Plumeria_rubra	RAU	Plu	55	32	770	2000	385	7	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Prestonia_quinquangularis	APO	Ech	94	21	470	1030	530	2	Present	Climbing	Present	CL	Present	Absent	Present	Absent	Absent	T	Absent	ThinThick	Present	Apo	Absent	Absent	Present	Absent	Absent	Uni+Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent
Rauvolfia_caffra	RAU	Vin	110	15	550	NA	430	40	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent
Rauvolfia_sumatrana	RAU	Vin	60	33	1060	2085	680	27	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma+Rays	Various	Absent	Absent
Rauvolfia_vomitoria	RAU	Vin	70	23	NA	NA	640	40	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Rhabdadenia_biflora	APO	Rha	60	7	330	580	400	1	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Uni+Multi	Absent	Absent	Various	Absent	Present
Saba_comorensis	RAU	Wil	155	8	420	580	583	20	Present	Climbing	Present	Absent	Absent	Absent	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Present
Secamone_elliptica	SEC	SEC	45	138	320	650	143	5	Present	Climbing	Present	CL	Present	Absent	Absent	Present	Present	FT+LF	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Present	Absent
Secamonopsis_madagascariensis	SEC	SEC	110	25	310	815	405	2	Present	Climbing	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Rays	PrismaticCrystals	Present	Present
Secondatia_densiflora	APO	Odo	80	63	410	620	290	20	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Strophanthus_boivinii	APO	Ner	NA	NA	NA	NA	NA	3	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Absent	Present	Absent	Absent	Uni+Multi	Present	Rays	PrismaticCrystals	Absent	Absent
Strophanthus_caudatus	APO	Ner	125	18	550	950	750	12	Present	Climbing	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Tabernaemontana_africana	RAU	Tab	NA	NA	NA	NA	NA	25	Absent	Erect	Absent	RM	Present	Absent	Absent	Present	Absent	FT	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	Rays	Various	Absent	Absent
Tabernaemontana_aurantiaca	RAU	Tab	60	75	930	1600	970	15	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Tabernaemontana_catharinensis	RAU	Tab	NA	NA	NA	NA	NA	10	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Absent	Absent	Various	Absent	Absent
Tabernaemontana_citrifolia	RAU	Tab	NA	NA	NA	NA	NA	3	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Present	Rays	PrismaticCrystals	Absent	Absent
Tabernaemontana_columbiensis	RAU	Tab	50	55	1030	1670	1475	4	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Various	Absent	Absent
Tabernaemontana_crassa	RAU	Tab	60	56	1190	1910	895	15	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	Rays	PrismaticCrystals	Absent	Absent
Tabernaemontana_cymosa	RAU	Tab	60	67	710	1530	598	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Tabernaemontana_donnell-smithii	RAU	Tab	NA	NA	NA	NA	NA	21	NA	Erect	NA	NA	NA	NA	Absent	Absent	Present	LF	Present	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Rays	PrismaticCrystals	Absent	Present
Tabernaemontana_eglandulosa	RAU	Tab	45	73	750	1170	455	40	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Tabernaemontana_laeta	RAU	Tab	NA	NA	NA	NA	NA	3	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Tabernaemontana_macrocarpa	RAU	Tab	75	23	1380	2300	650	30	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	Rays	Various	Absent	Absent
Tabernaemontana_pachysiphon	RAU	Tab	65	49	830	1900	598	15	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Tabernaemontana_penduliflora	RAU	Tab	NA	NA	NA	NA	NA	12	NA	Erect	NA	NA	NA	NA	Absent	NA	NA	NA	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Absent
Tabernaemontana_retusa	RAU	Tab	NA	NA	NA	NA	NA	10	Absent	Erect	Present	RM	Present	Absent	Absent	NA	NA	NA	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	Rays	Various	Absent	Present
Tabernaemontana_siphilitica	RAU	Tab	40	77	645	1220	555	9	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Tacazzea_apiculata	PER	PER	135	18	440	825	628	20	Present	Climbing	Present	CL	Present	Present	Absent	Present	Present	FT+LF	Absent	Thin	Present	Para	Present	Absent	Absent	Present	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Thevetia_ahouai	RAU	Plu	40	61	500	865	705	5	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Present	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Trachelospermum_asiaticum	APO	Apo	NA	NA	NA	NA	NA	10	Present	Climbing	Absent	RM	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Urceola_laevigata	APO	Apo	140	19	340	785	500	10	Present	Climbing	Present	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Urceola_lucida	APO	Apo	135	36	550	1000	1660	20	Present	Climbing	Present	CL	Present	Present	Present	Absent	Present	T+LF	Absent	ThinThick	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Present
Vincetoxicum_anomalum	ASC	Asc	91	54	450	720	340	3	Present	Climbing	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Present	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Uni	Absent	Absent	Absent	Present	Absent
Vincetoxicum_sylvaticum	ASC	Asc	140	14	340	740	1470	3	Present	Climbing	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo+Para	Absent	Absent	Present	Present	Absent	Multi	Present	Rays	PrismaticCrystals	Present	Present
Voacanga_africana	RAU	Tab	60	69	770	NA	800	25	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Various	Absent	Absent
Voacanga_globosa	RAU	Tab	55	54	1150	2230	2240	15	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Voacanga_grandifolia	RAU	Tab	60	66	580	1060	890	15	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Various	Absent	Absent
Willughbeia_angustifolia	RAU	Wil	170	9	530	1090	300	60	Present	Climbing	Present	Absent	Absent	Absent	Present	Present	Absent	T+FT	Absent	ThinThick	Present	Apo+Para	Absent	Absent	Present	Present	Absent	Multi	Absent	Absent	Absent	Absent	Present
Wrightia_arborea	APO	Wri	70	35	890	1570	585	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Present	Rays	PrismaticCrystals	Absent	Absent
Wrightia_coccinea	APO	Wri	40	66	400	870	325	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Rays	PrismaticCrystals	Absent	Absent
Wrightia_dubia	APO	Wri	40	68	550	1060	380	3	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
